"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Главная страница","0","Раздел FAQ (Вопросы о важном)","8","0","","0"
"0","Заказ самоката","0","Позитивный сценарий оформления заказа","4","0","","0"
